sample.id num.tech.reps ERA.library.id
SRX050610 1 L1LIN35-1cap1
SRX049744 1 L1LIN35-1cap1
SRX047470 2 DauerEntryDAF2-2
SRX037288 3 N2_L1-1
SRX037199 1 DauerExitDAF2-2
SRX008140 2 DauerExitDAF2_ce1008_rw1001
SRX008139 2 DauerEntryDAF2_ce1007_rw1001
SRX008138 2 DauerDAF2_ce1006_rw1001
SRX004869 4 L1LIN35_ce1002_rw1002
SRX001872 3 L2_ce0109_rw001
SRX047653 3 N2_L2-4
SRX001875 2 L3_ce0120_rw002
SRX036881 3 N2_L3-1
SRX001874 2 L4_ce0121_rw003
SRX014009 2 SmacDb10_ce1012_rw1001
SRX008144 3 L4_ce1009_rw1001
SRX008136 4 AdultSPE9_ce1004_rw1001
SRX050630 1 L4MALE6cap2
SRX049745 1 L4MALE6cap2
SRX049269 1 N2_L4RRcap3
SRX049268 1 N2_L4cap4
SRX047469 2 L4MALE5
SRX037200 1 L4JK1107soma-2
SRX004868 3 L4_ce1001_rw1001
SRX014010 2 L4JK1107soma_ce1014_rw1001
SRX047635 1 DC-2-12
SRX036970 3 PL-2-24
SRX036969 3 EF-1-24
SRX036967 3 OPDC-2-12
SRX036882 3 DC-1-5
SRX035162 2 DC-2-12
SRX049270 1 N2_LE-2cap6
SRX004863 2 EE_ce0128_rw005
SRX047446 3 N2_LE-1
SRX037198 2 EmMalesHIM8-2
SRX037197 2 N2_EE-2cap5
SRX037186 3 N2_EE-2
SRX011569 2 EmMalesHIM8_ce1005_rw1001
SRX004866 4 EE_ce0129_rw006
SRX004865 2 LE_ce0129_rw006
SRX004864 4 EE_ce1003_rw005
SRX001873 3 YA_ce0122_rw004
SRX047787 2 N2_Yad-1
SRX014008 3 SmacDb10_ce1012_rw1001
SRX014007 2 HarpoEcoliCntl_ce1011_rw1001
SRX014006 2 Harpo_ce1010_rw1001
