"1" "2" "3" "4"
"V1" 0.00545397641409279 0.00823130122912235 0.00591069366225805 0.0117547668584505
"V2" 0.00369306839943168 0.00668508952363221 0.00468883438710196 0.0135012449865732
"V3" 7.18791582513493e-08 0.0216692903853103 1.88993486959514e-06 8.19303337914899e-10
"V4" 0.000209893213126138 0.00397875370437549 0.00959466868287649 0.0136030591405569
"V5" 0.0006992177839732 0.00224936693495852 0.00615586000457441 0.0133715908026901
"V6" 0.000233023336466256 0.00651566990570328 0.0100827163403021 0.0046396334727852
"V7" 0.000227973824093151 0.00330306085614682 0.00653288029876111 0.00971220145240845
"V8" 0.00184739856187043 0.00438004816854358 0.00980556503892202 0.00350582994447312
"V9" 0.000144589449413015 0.00364591530034734 0.00723986761808334 0.00742891925140821
"V10" 0.000811138966661889 0.00266267590846368 0.00574277143114995 0.00901869669610391
"V11" 0.000842746818938465 0.00279584705644323 0.00556970697767554 0.00853103148334552
"V12" 0.000828345040241692 0.00273978917880061 0.0051905738800081 0.00878184790844887
"V13" 0.000849689843398986 0.00292454940590186 0.00614102498500875 0.00760026128159896
"V14" 0.000422401912988761 0.00278015940873498 0.00550651310740799 0.00843980123601592
"V15" 0.00053519497252017 0.00260303833909524 0.00550600980313618 0.00763103434551358
"V16" 0.000526773789624705 0.00274948074043714 0.00536168472647653 0.00756682279888646
"V17" 0.00072699017724487 0.00253100422063016 0.0052987111979624 0.0075342074866029
"V18" 0.000675631241959285 0.00261557611982859 0.00464159159117194 0.00778424008626943
"V19" 0.00238363982015789 0.00378896318124457 0.00166313398860761 0.00649103470330371
"V20" 0.000410143645629999 0.00223749264251329 0.00423824196235031 0.00853005834823291
"V21" 0.000757350505819545 0.0025637819484341 0.00392044565875166 0.00769722690185763
"V22" 7.34974401158348e-13 0.00559915435284889 0.00776939463035969 0.000209376722596983
"V23" 0.00241235193753667 0.00340011169350123 0.00411745139833922 0.00343514280550052
"V24" 0.00278535467753741 0.00264049927791003 0.00221378841271286 0.00547673764625941
"V25" 0.000197367811827541 0.00173213192901001 0.00496552182505947 0.00726207714679636
"V26" 0.000750558737909066 0.00199992421852339 0.00398369832478852 0.00708866443939048
"V27" 0.000356017280763882 0.00245054053030322 0.00436045575508493 0.00650337926612523
"V28" 0.000715773588803252 0.00222823886201563 0.00388456396210063 0.00671265718615712
"V29" 0.00168926951322673 0.00209375261387034 0.00520530492741641 0.0043807868505274
"V30" 0.000586379630588629 0.00176477408207112 0.00443115253153809 0.00646492482928013
"V31" 0.00049103279486822 0.00201936932720914 0.0050563434220778 0.00537336540384393
"V32" 0.000383684432742505 0.00195456856057507 0.00530216503539694 0.00503345420166893
"V33" 0.0016144876793831 0.00400520168549787 0.0023944410883481 0.00309937309036314
"V34" 0.000543939826845112 0.00205771426127836 0.00333351603419175 0.00598176484551811
"V35" 0.000331930877566649 0.00228683737204982 0.00376308211668615 0.00524093611522281
"V36" 0.000463672181293326 0.00185216046891983 0.00394584021057408 0.00549924365427059
"V37" 0.000256169617516424 0.00174708036456777 0.00434637933152873 0.00536690051522393
"V38" 0.000256454051744829 0.00156396914362136 0.00396174958353357 0.00579921603515752
"V39" 0.000538985958163983 0.00196994698988976 0.00369238143398809 0.00508583511660185
"V40" 0.00386370984217649 0.00154775399360667 0.00353053062763608 0.0018190171932504
"V41" 0.0037072431218651 0.00326015859753473 0.00134362479779684 0.00140369573311239
"V42" 0.000262126840992816 0.00138955452616498 0.0035656804389684 0.00571297964819235
"V43" 0.000313280955857251 0.00152482079095935 0.00318169248370585 0.00560419304032776
"V44" 0.000474259902870423 0.001751648505403 0.00408194185299564 0.0043526837529229
"V45" 0.000420850292505048 0.00151028756183509 0.00369897859349343 0.00504513872197152
"V46" 7.52591847262911e-05 0.00144281609503473 0.00464696090179809 0.00469354166795292
"V47" 0.00113827328514138 0.00244216136543643 0.00388674762595728 0.00276974225879428
"V48" 0.000338570734799989 0.00159768009880421 0.00402536515949131 0.00466609242292514
"V49" 0.000373910972720337 0.00176641531255212 0.00389866989197811 0.0044630955020368
"V50" 0.000338503574586529 0.00166560830319219 0.00370218251591273 0.0047233841131593
"V51" 0.00287804031766029 0.00162362191311014 0.00106586829194252 0.00410411642479204
